county,fips,totalpop
Johnson,20,585502
Kearny,20,3932
Kingman,20,7470
Kiowa,20,2526
Labette,20,20367
Lane,20,1642
Leavenworth,20,80042
Lincoln,20,3097
Linn,20,9635
Logan,20,2810
Lyon,20,33299
McPherson,20,28630
Marion,20,12032
Marshall,20,9798
Meade,20,4261
Miami,20,33127
Mitchell,20,6222
Montgomery,20,32970
Morris,20,5566
Morton,20,2838
Nemaha,20,10104
Neosho,20,16125
Ness,20,2955
Norton,20,5486
Osage,20,15882
Osborne,20,3603
Ottawa,20,5902
Pawnee,20,6709
Phillips,20,5408
Pottawatomie,20,23545
Pratt,20,9582
Rawlins,20,2509
Reno,20,63101
Republic,20,4686
Rice,20,9762
Riley,20,75296
Rooks,20,5118
Rush,20,3102
Russell,20,6977
Saline,20,54977
Scott,20,4949
Sedgwick,20,512064
Seward,20,22692
Shawnee,20,178284
Sheridan,20,2506
Sherman,20,5966
Smith,20,3663
Stafford,20,4214
Stanton,20,2063
Stevens,20,5686
Sumner,20,23208
Thomas,20,7824
Trego,20,2858
Wabaunsee,20,6888
Wallace,20,1575
Washington,20,5525
Wichita,20,2143
Wilson,20,8780
Woodson,20,3170
Wyandotte,20,164345
Adair,21,19241
Allen,21,20794
Anderson,21,22214
Ballard,21,8090
Barren,21,43680
Bath,21,12268
Bell,21,27188
Boone,21,129095
Bourbon,21,20144
Boyd,21,48091
Boyle,21,29913
Bracken,21,8306
Breathitt,21,13116
Breckinridge,21,20080
Bullitt,21,79466
Butler,21,12745
Caldwell,21,12727
Calloway,21,38776
Campbell,21,92267
Carlisle,21,4841
Carroll,21,10711
Carter,21,27290
Casey,21,15796
Christian,21,72263
Clark,21,35872
Clay,21,20621
Clinton,21,10211
Crittenden,21,9083
Cumberland,21,6713
Daviess,21,99937
Edmonson,21,12122
Elliott,21,7517
Estill,21,14313
Fayette,21,318734
Fleming,21,14479
Floyd,21,36926
Franklin,21,50296
Fulton,21,6210
Gallatin,21,8703
Garrard,21,17328
Grant,21,24915
Graves,21,37294
Grayson,21,26178
Green,21,11023
Greenup,21,35765
Hancock,21,8719
Hardin,21,108095
Harlan,21,27134
Harrison,21,18668
Hart,21,18627
Henderson,21,46137
Henry,21,15814
Hickman,21,4568
Hopkins,21,45664
Jackson,21,13373
Jefferson,21,767154
Jessamine,21,52422
Johnson,21,22843
Kenton,21,164688
Knott,21,15513
Knox,21,31467
Larue,21,14156
Laurel,21,60180
Lawrence,21,15783
Lee,21,6751
Leslie,21,10472
Letcher,21,22676
Lewis,21,13490
Lincoln,21,24458
Livingston,21,9263
Logan,21,26849
Lyon,21,8186
McCracken,21,65284
McCreary,21,17635
McLean,21,9331
Madison,21,89700
Magoffin,21,12666
Marion,21,19232
Marshall,21,31166
Martin,21,11919
Mason,21,17153
Meade,21,28326
Menifee,21,6405
Mercer,21,21516
Metcalfe,21,10004
Monroe,21,10634
Montgomery,21,27759
Morgan,21,13285
Muhlenberg,21,31081
Nelson,21,45388
Nicholas,21,7100
Ohio,21,24071
Oldham,21,65374
Owen,21,10741
Owsley,21,4463
Pendleton,21,14520
Perry,21,26917
Pike,21,60483
Powell,21,12321
Pulaski,21,64145
Robertson,21,2143
Rockcastle,21,16827
Rowan,21,24499
Russell,21,17760
Scott,21,53517
Shelby,21,46786
Simpson,21,18063
Spencer,21,18246
Taylor,21,25500
Todd,21,12350
Trigg,21,14344
Trimble,21,8637
Union,21,14802
Warren,21,126427
Washington,21,12019
Wayne,21,20609
Webster,21,13155
Whitley,21,36089
Wolfe,21,7223
Woodford,21,26097
Acadia,22,62568
Allen,22,25661
Ascension,22,121176
Assumption,22,22714
Avoyelles,22,40882
Beauregard,22,36769
Bienville,22,13668
Bossier,22,126131
Caddo,22,248361
Calcasieu,22,200182
Caldwell,22,9996
Cameron,22,6868
Catahoula,22,9893
Claiborne,22,16153
Concordia,22,20021
De Soto,22,27216
East Baton Rouge,22,444094
East Carroll,22,7225
East Feliciana,22,19499
Evangeline,22,33636
Franklin,22,20322
Grant,22,22348
Iberia,22,72691
Iberville,22,32956
Jackson,22,15926
Jefferson,22,435300
Jefferson Davis,22,31467
Lafayette,22,240091
Lafourche,22,98214
LaSalle,22,14949
Lincoln,22,47356
Livingston,22,138111
Madison,22,11472
Morehouse,22,25992
Natchitoches,22,38963
Orleans,22,389648
Ouachita,22,156075
Plaquemines,22,23373
Pointe Coupee,22,22158
Rapides,22,131546
Red River,22,8618
Richland,22,20474
Sabine,22,24088
St. Bernard,22,45694
St. Charles,22,52724
St. Helena,22,10411
St. James,22,21357
St. John the Baptist,22,43446
St. Landry,22,83449
St. Martin,22,53752
St. Mary,22,51734
St. Tammany,22,252093
Tangipahoa,22,130504
Tensas,22,4666
Terrebonne,22,112587
Union,22,22475
Vermilion,22,59867
Vernon,22,51007
Washington,22,46457
Webster,22,39631
West Baton Rouge,22,25860
West Carroll,22,11180
West Feliciana,22,15377
Winn,22,14494
Androscoggin,23,107444
Aroostook,23,68269
Cumberland,23,290944
Franklin,23,30019
Hancock,23,54541
Kennebec,23,121545
Knox,23,39823
Lincoln,23,34067
Oxford,23,57325
Penobscot,23,151748
Piscataquis,23,16887
Sagadahoc,23,35277
Somerset,23,50710
Waldo,23,39418
Washington,23,31694
York,23,203102
Allegany,24,71977
Anne Arundel,24,567696
Baltimore,24,827625
Calvert,24,91082
Caroline,24,32875
Carroll,24,167522
Cecil,24,102517
